date;EUR;GBP;KWD;USD
01.01.2024;3,5363;4,0651;10,3468;3,1775
02.01.2024;3,5363;4,0651;10,3468;3,1775
03.01.2024;3,5363;4,0651;10,3468;3,1775
04.01.2024;3,4919;4,0318;10,3844;3,1932
05.01.2024;3,5075;4,0674;10,4034;3,198
06.01.2024;3,5075;4,0674;10,4034;3,198
07.01.2024;3,5075;4,0674;10,4034;3,198
08.01.2024;3,4906;4,0496;10,402;3,1986
09.01.2024;3,495;4,0573;10,3919;3,1955
10.01.2024;3,4965;4,0681;10,3933;3,1949
11.01.2024;3,4765;4,0417;10,3318;3,176
12.01.2024;3,4687;4,0301;10,2915;3,1636
13.01.2024;3,4687;4,0301;10,2915;3,1636
14.01.2024;3,4687;4,0301;10,2915;3,1636
15.01.2024;3,4571;4,0221;10,2626;3,1537
16.01.2024;3,4469;4,0092;10,2447;3,1482
17.01.2024;3,4265;3,9784;10,2377;3,1481
18.01.2024;3,4434;4,0157;10,286;3,165
19.01.2024;3,4515;4,0191;10,3045;3,1707
20.01.2024;3,4515;4,0191;10,3045;3,1707
21.01.2024;3,4515;4,0191;10,3045;3,1707
22.01.2024;3,4429;4,0128;10,2784;3,1637
23.01.2024;3,4321;4,0013;10,2366;3,1498
24.01.2024;3,4202;3,9987;10,2099;3,1416
25.01.2024;3,4405;4,0285;10,2604;3,1561
26.01.2024;3,4469;4,0262;10,2881;3,1636
27.01.2024;3,4469;4,0262;10,2881;3,1636
28.01.2024;3,4469;4,0262;10,2881;3,1636
29.01.2024;3,4539;4,0492;10,3521;3,1843
30.01.2024;3,4432;4,0424;10,3464;3,1836
31.01.2024;3,4401;4,029;10,3253;3,1771
01.02.2024;3,449;4,0367;10,3583;3,1862
02.02.2024;3,4562;4,0511;10,4064;3,201
03.02.2024;3,4562;4,0511;10,4064;3,201
04.02.2024;3,4562;4,0511;10,4064;3,201
05.02.2024;3,497;4,0971;10,4466;3,2113
06.02.2024;3,4657;4,061;10,4685;3,2222
07.02.2024;3,4408;4,0224;10,4167;3,2073
08.02.2024;3,4708;4,0706;10,4661;3,2225
09.02.2024;3,478;4,0739;10,4752;3,2253
10.02.2024;3,478;4,0739;10,4752;3,2253
11.02.2024;3,478;4,0739;10,4752;3,2253
12.02.2024;3,4662;4,0611;10,4437;3,2156
13.02.2024;3,4701;4,0662;10,4592;3,2204
14.02.2024;3,4708;4,0759;10,4709;3,224
15.02.2024;3,4584;4,0523;10,4823;3,2317
16.02.2024;3,468;4,0569;10,4878;3,2313
17.02.2024;3,468;4,0569;10,4878;3,2313
18.02.2024;3,468;4,0569;10,4878;3,2313
19.02.2024;3,4902;4,0802;10,5256;3,2419
20.02.2024;3,4908;4,0868;10,5222;3,2398
21.02.2024;3,4945;4,0794;10,5146;3,2364
22.02.2024;3,4971;4,0839;10,5242;3,2383
23.02.2024;3,5283;4,1228;10,5562;3,2471
24.02.2024;3,5283;4,1228;10,5562;3,2471
25.02.2024;3,5283;4,1228;10,5562;3,2471
26.02.2024;3,5109;4,108;10,5429;3,2451
27.02.2024;3,5128;4,1097;10,5327;3,2409
28.02.2024;3,5075;4,1025;10,507;3,233
29.02.2024;3,4987;4,0887;10,5234;3,2391
01.03.2024;3,492;4,0761;10,4613;3,2179
02.03.2024;3,492;4,0761;10,4613;3,2179
03.03.2024;3,492;4,0761;10,4613;3,2179
04.03.2024;3,4868;4,0738;10,4877;3,2281
05.03.2024;3,5048;4,0938;10,5007;3,23
06.03.2024;3,5034;4,0938;10,4931;3,2282
07.03.2024;3,4894;4,0841;10,4274;3,2085
08.03.2024;3,4894;4,0841;10,4274;3,2085
09.03.2024;3,4894;4,0841;10,4274;3,2085
10.03.2024;3,4894;4,0841;10,4274;3,2085
11.03.2024;3,4957;4,0887;10,4354;3,2068
12.03.2024;3,5028;4,1139;10,4308;3,2033
13.03.2024;3,5045;4,1007;10,4406;3,2063
14.03.2024;3,528;4,1263;10,514;3,2299
15.03.2024;3,539;4,1445;10,5299;3,2348
16.03.2024;3,539;4,1445;10,5299;3,2348
17.03.2024;3,539;4,1445;10,5299;3,2348
18.03.2024;3,5225;4,1221;10,5143;3,2321
19.03.2024;3,5221;4,1202;10,5182;3,2333
20.03.2024;3,5077;4,101;10,5226;3,2357
21.03.2024;3,5164;4,1174;10,5499;3,2441
22.03.2024;3,5314;4,1328;10,5298;3,2358
23.03.2024;3,5314;4,1328;10,5298;3,2358
24.03.2024;3,5314;4,1328;10,5298;3,2358
25.03.2024;3,5107;4,085;10,5476;3,2455
26.03.2024;3,5196;4,1025;10,5736;3,2535
27.03.2024;3,5301;4,1163;10,5738;3,2525
28.03.2024;3,5239;4,109;10,5803;3,2545
29.03.2024;3,5019;4,0927;10,5616;3,2498
30.03.2024;3,5019;4,0927;10,5616;3,2498
31.03.2024;3,5019;4,0927;10,5616;3,2498
01.04.2024;3,5071;4,102;10,5731;3,2523
02.04.2024;3,5046;4,0999;10,565;3,2498
03.04.2024;3,4952;4,0909;10,5788;3,2572
04.04.2024;3,51;4,0977;10,5938;3,2597
05.04.2024;3,5345;4,1217;10,5809;3,2547
06.04.2024;3,5345;4,1217;10,5809;3,2547
07.04.2024;3,5345;4,1217;10,5809;3,2547
08.04.2024;3,527;4,1114;10,5817;3,2544
09.04.2024;3,5243;4,1101;10,5854;3,255
10.04.2024;3,5368;4,1274;10,5891;3,2551
11.04.2024;3,5421;4,1404;10,6096;3,2614
12.04.2024;3,513;4,1033;10,6355;3,2736
13.04.2024;3,513;4,1033;10,6355;3,2736
14.04.2024;3,513;4,1033;10,6355;3,2736
15.04.2024;3,4797;4,079;10,6008;3,264
16.04.2024;3,4803;4,078;10,6083;3,2663
17.04.2024;3,4819;4,0787;10,6275;3,2754
18.04.2024;3,4927;4,0917;10,6454;3,2809
19.04.2024;3,4954;4,0852;10,6285;3,2757
20.04.2024;3,4954;4,0852;10,6285;3,2757
21.04.2024;3,4954;4,0852;10,6285;3,2757
22.04.2024;3,4763;4,0613;10,5793;3,2616
23.04.2024;3,4633;4,0135;10,55;3,2515
24.04.2024;3,4694;4,0226;10,5625;3,2543
25.04.2024;3,464;4,0287;10,5263;3,2421
26.04.2024;3,474;4,0519;10,5249;3,2385
27.04.2024;3,474;4,0519;10,5249;3,2385
28.04.2024;3,474;4,0519;10,5249;3,2385
29.04.2024;3,4717;4,0479;10,5031;3,2339
30.04.2024;3,4864;4,0774;10,5759;3,2542
01.05.2024;3,4864;4,0774;10,5759;3,2542
02.05.2024;3,4916;4,0833;10,5716;3,255
03.05.2024;3,4633;4,0493;10,5114;3,2354
04.05.2024;3,4633;4,0493;10,5114;3,2354
05.05.2024;3,4633;4,0493;10,5114;3,2354
06.05.2024;3,4662;4,0524;10,4933;3,2267
07.05.2024;3,4744;4,0581;10,4938;3,2258
08.05.2024;3,4671;4,0392;10,479;3,2223
09.05.2024;3,4671;4,0392;10,479;3,2223
10.05.2024;3,4741;4,0374;10,5083;3,2313
11.05.2024;3,4741;4,0374;10,5083;3,2313
12.05.2024;3,4741;4,0374;10,5083;3,2313
13.05.2024;3,4741;4,0374;10,5083;3,2313
14.05.2024;3,4741;4,0374;10,5083;3,2313
15.05.2024;3,4846;4,0501;10,5145;3,2332
16.05.2024;3,491;4,0698;10,4924;3,2243
17.05.2024;3,4962;4,0744;10,4765;3,2163
18.05.2024;3,4878;4,0704;10,4707;3,2166
19.05.2024;3,4878;4,0704;10,4707;3,2166
20.05.2024;3,501;4,0913;10,4854;3,2211
21.05.2024;3,5023;4,0936;10,4989;3,2221
22.05.2024;3,4886;4,0819;10,4549;3,2086
23.05.2024;3,4708;4,0741;10,4295;3,2008
24.05.2024;3,4758;4,0781;10,4397;3,205
25.05.2024;3,4758;4,0781;10,4397;3,205
26.05.2024;3,4758;4,0781;10,4397;3,205
27.05.2024;3,4649;4,0668;10,4179;3,1983
28.05.2024;3,4466;4,0466;10,3359;3,1721
29.05.2024;3,4443;4,0456;10,3251;3,1667
30.05.2024;3,4585;4,0665;10,3862;3,1865
31.05.2024;3,4668;4,0754;10,4461;3,2059
01.06.2024;3,4668;4,0754;10,4461;3,2059
02.06.2024;3,4668;4,0754;10,4461;3,2059
03.06.2024;3,48;4,0825;10,4502;3,2082
04.06.2024;3,4598;4,0567;10,4121;3,1934
05.06.2024;3,4536;4,0549;10,3715;3,1768
06.06.2024;3,4582;4,0632;10,3802;3,1805
07.06.2024;3,4599;4,0652;10,3786;3,18
08.06.2024;3,4599;4,0652;10,3786;3,18
09.06.2024;3,4599;4,0652;10,3786;3,18
10.06.2024;3,4671;4,0733;10,3921;3,1831
11.06.2024;3,4234;4,0457;10,3887;3,1862
12.06.2024;3,4253;4,057;10,3887;3,1862
13.06.2024;3,4288;4,0679;10,4005;3,1888
14.06.2024;3,4539;4,0876;10,4344;3,1971
15.06.2024;3,4539;4,0876;10,4344;3,1971
16.06.2024;3,4539;4,0876;10,4344;3,1971
17.06.2024;3,4191;4,0658;10,4357;3,1996
18.06.2024;3,4274;4,0538;10,4353;3,2005
19.06.2024;3,415;4,0407;10,3877;3,1859
20.06.2024;3,3935;4,0228;10,3063;3,1599
21.06.2024;3,4043;4,0333;10,3601;3,1764
22.06.2024;3,4043;4,0333;10,3601;3,1764
23.06.2024;3,4043;4,0333;10,3601;3,1764
24.06.2024;3,4496;4,0793;10,5174;3,2257
25.06.2024;3,4496;4,0761;10,4901;3,2173
26.06.2024;3,4286;4,0555;10,4258;3,1955
27.06.2024;3,4205;4,0534;10,4356;3,2006
28.06.2024;3,3821;3,9997;10,3111;3,1624
29.06.2024;3,3821;3,9997;10,3111;3,1624
30.06.2024;3,3821;3,9997;10,3111;3,1624
01.07.2024;3,3901;4,0035;10,3234;3,1662
02.07.2024;3,4274;4,0383;10,4007;3,1878
03.07.2024;3,4274;4,0383;10,4007;3,1878
04.07.2024;3,4374;4,0536;10,4664;3,209
05.07.2024;3,4674;4,0966;10,4855;3,2117
06.07.2024;3,4674;4,0966;10,4855;3,2117
07.07.2024;3,4674;4,0966;10,4855;3,2117
08.07.2024;3,4811;4,1119;10,5047;3,2155
09.07.2024;3,4797;4,1176;10,4964;3,2119
10.07.2024;3,4692;4,1064;10,4775;3,2061
11.07.2024;3,466;4,1033;10,4695;3,2047
12.07.2024;3,4798;4,1307;10,4827;3,2077
13.07.2024;3,4798;4,1307;10,4827;3,2077
14.07.2024;3,4798;4,1307;10,4827;3,2077
15.07.2024;3,4819;4,1421;10,4581;3,1981
